Iteration,Naive Bayes,Hoeffding Tree,IELM,SGD Perceptron
581,0.9700,0.9920,0.9660,0.9620
582,0.9700,0.9920,0.9660,0.9640
583,0.9700,0.9920,0.9660,0.9640
584,0.9700,0.9920,0.9660,0.9640
585,0.9700,0.9920,0.9660,0.9640
586,0.9700,0.9920,0.9660,0.9640
587,0.9700,0.9920,0.9660,0.9640
588,0.9700,0.9920,0.9660,0.9640
589,0.9700,0.9920,0.9660,0.9640
590,0.9700,0.9920,0.9660,0.9640
591,0.9700,0.9920,0.9660,0.9640
592,0.9700,0.9920,0.9660,0.9640
593,0.9700,0.9920,0.9660,0.9640
594,0.9700,0.9920,0.9660,0.9640
595,0.9700,0.9920,0.9660,0.9640
596,0.9700,0.9920,0.9660,0.9640
597,0.9700,0.9920,0.9660,0.9640
598,0.9700,0.9920,0.9660,0.9640
599,0.9700,0.9920,0.9660,0.9640
600,0.9700,0.9920,0.9660,0.9640
601,0.9700,0.9920,0.9660,0.9640
602,0.9700,0.9920,0.9660,0.9640
603,0.9700,0.9920,0.9660,0.9640
604,0.9700,0.9920,0.9660,0.9640
605,0.9700,0.9920,0.9660,0.9640
606,0.9700,0.9920,0.9660,0.9640
607,0.9700,0.9920,0.9660,0.9640
608,0.9700,0.9920,0.9660,0.9640
609,0.9700,0.9920,0.9660,0.9640
610,0.9700,0.9920,0.9660,0.9640
611,0.9700,0.9920,0.9660,0.9640
612,0.9700,0.9920,0.9660,0.9640
613,0.9700,0.9920,0.9660,0.9640
614,0.9700,0.9920,0.9660,0.9640
615,0.9700,0.9920,0.9660,0.9640
616,0.9700,0.9920,0.9660,0.9640
617,0.9700,0.9920,0.9660,0.9640
618,0.9700,0.9920,0.9660,0.9640
619,0.9700,0.9920,0.9660,0.9640
620,0.9700,0.9920,0.9660,0.9640
621,0.9700,0.9920,0.9660,0.9640
622,0.9700,0.9920,0.9660,0.9640
623,0.9700,0.9920,0.9660,0.9640
624,0.9700,0.9920,0.9660,0.9640
625,0.9700,0.9920,0.9660,0.9640
626,0.9700,0.9920,0.9660,0.9640
627,0.9700,0.9920,0.9660,0.9640
628,0.9700,0.9920,0.9660,0.9640
629,0.9700,0.9920,0.9660,0.9640
