Iteration,Gaussian NB,Hoeffding Tree,IELM,SGD Perceptron,Adaptive RF
435,0.7954,0.8276,0.8483,0.9172,0.8667
436,0.7959,0.8280,0.8463,0.9174,0.8670
437,0.7963,0.8284,0.8444,0.9176,0.8673
438,0.7968,0.8288,0.8425,0.9178,0.8676
439,0.7973,0.8292,0.8405,0.9180,0.8679
440,0.7977,0.8295,0.8386,0.9182,0.8682
441,0.7982,0.8299,0.8367,0.9184,0.8685
442,0.7986,0.8303,0.8348,0.9186,0.8688
443,0.7991,0.8307,0.8330,0.9187,0.8691
444,0.7995,0.8311,0.8311,0.9189,0.8694
445,0.7978,0.8315,0.8292,0.9191,0.8697
446,0.7982,0.8318,0.8296,0.9170,0.8700
447,0.7987,0.8322,0.8300,0.9172,0.8702
448,0.7991,0.8326,0.8304,0.9174,0.8705
449,0.7996,0.8330,0.8307,0.9176,0.8708
450,0.8000,0.8333,0.8311,0.9178,0.8711
451,0.7982,0.8315,0.8293,0.9180,0.8692
452,0.7965,0.8296,0.8274,0.9181,0.8695
453,0.7947,0.8278,0.8256,0.9183,0.8698
454,0.7930,0.8282,0.8238,0.9185,0.8700
455,0.7912,0.8286,0.8220,0.9187,0.8703
456,0.7917,0.8289,0.8202,0.9189,0.8706
457,0.7921,0.8293,0.8184,0.9190,0.8709
458,0.7926,0.8297,0.8166,0.9192,0.8712
459,0.7930,0.8301,0.8148,0.9194,0.8715
460,0.7913,0.8304,0.8130,0.9196,0.8717
461,0.7918,0.8308,0.8113,0.9197,0.8720
462,0.7922,0.8312,0.8095,0.9199,0.8723
463,0.7905,0.8315,0.8078,0.9179,0.8726
464,0.7888,0.8319,0.8060,0.9181,0.8728
465,0.7871,0.8323,0.8043,0.9183,0.8731
466,0.7876,0.8326,0.8047,0.9163,0.8712
467,0.7880,0.8330,0.8051,0.9165,0.8715
468,0.7885,0.8333,0.8056,0.9167,0.8718
469,0.7889,0.8337,0.8060,0.9168,0.8721
